,c,h,l,o,volume,time
383,110.304,110.338,110.270,110.316,520,2018-01-23T21:00:00.000000000Z
384,110.284,110.322,110.243,110.322,247,2018-01-23T22:00:00.000000000Z
385,110.126,110.338,110.066,110.282,735,2018-01-23T23:00:00.000000000Z
386,110.237,110.288,110.101,110.129,1144,2018-01-24T00:00:00.000000000Z
387,110.070,110.300,110.046,110.240,1169,2018-01-24T01:00:00.000000000Z
388,109.965,110.121,109.880,110.068,2532,2018-01-24T02:00:00.000000000Z
389,109.958,110.093,109.893,109.968,1038,2018-01-24T03:00:00.000000000Z
390,109.889,109.962,109.808,109.956,1042,2018-01-24T04:00:00.000000000Z
391,109.944,109.983,109.892,109.892,468,2018-01-24T05:00:00.000000000Z
392,110.008,110.044,109.858,109.947,1144,2018-01-24T06:00:00.000000000Z
393,109.954,110.086,109.914,110.010,1455,2018-01-24T07:00:00.000000000Z
394,109.695,109.976,109.647,109.956,2056,2018-01-24T08:00:00.000000000Z
395,109.667,109.744,109.544,109.692,1780,2018-01-24T09:00:00.000000000Z
396,109.518,109.677,109.500,109.669,1237,2018-01-24T10:00:00.000000000Z
397,109.542,109.564,109.388,109.516,1606,2018-01-24T11:00:00.000000000Z
398,109.526,109.606,109.458,109.544,1303,2018-01-24T12:00:00.000000000Z
399,109.516,109.579,109.368,109.523,2432,2018-01-24T13:00:00.000000000Z
400,109.207,109.518,109.182,109.518,2093,2018-01-24T14:00:00.000000000Z
401,109.206,109.296,109.152,109.204,2102,2018-01-24T15:00:00.000000000Z
402,109.152,109.266,108.998,109.204,2512,2018-01-24T16:00:00.000000000Z
403,109.213,109.277,109.083,109.156,1707,2018-01-24T17:00:00.000000000Z
404,109.025,109.242,108.969,109.210,2589,2018-01-24T18:00:00.000000000Z
405,109.052,109.111,108.974,109.028,1313,2018-01-24T19:00:00.000000000Z
406,109.138,109.182,109.034,109.050,1037,2018-01-24T20:00:00.000000000Z
407,109.220,109.252,109.138,109.140,698,2018-01-24T21:00:00.000000000Z
408,109.189,109.230,109.118,109.216,582,2018-01-24T22:00:00.000000000Z
409,109.320,109.338,109.172,109.186,640,2018-01-24T23:00:00.000000000Z
410,109.398,109.472,109.222,109.323,1636,2018-01-25T00:00:00.000000000Z
411,109.219,109.447,109.212,109.400,1220,2018-01-25T01:00:00.000000000Z
412,109.067,109.238,109.042,109.221,1942,2018-01-25T02:00:00.000000000Z
413,109.024,109.166,108.924,109.070,1884,2018-01-25T03:00:00.000000000Z
414,109.010,109.072,108.954,109.026,1300,2018-01-25T04:00:00.000000000Z
415,108.928,109.085,108.906,109.007,1039,2018-01-25T05:00:00.000000000Z
416,108.956,109.096,108.736,108.925,2199,2018-01-25T06:00:00.000000000Z
417,109.024,109.185,108.857,108.959,4453,2018-01-25T07:00:00.000000000Z
418,109.200,109.270,109.014,109.026,2659,2018-01-25T08:00:00.000000000Z
419,109.010,109.198,109.000,109.198,1129,2018-01-25T09:00:00.000000000Z
420,109.058,109.094,109.000,109.008,1103,2018-01-25T10:00:00.000000000Z
421,109.018,109.058,108.941,109.056,834,2018-01-25T11:00:00.000000000Z
422,109.006,109.042,108.976,109.021,794,2018-01-25T12:00:00.000000000Z
423,108.756,109.006,108.756,109.004,3739,2018-01-25T13:00:00.000000000Z
424,108.850,109.148,108.637,108.754,4748,2018-01-25T14:00:00.000000000Z
425,108.694,108.906,108.590,108.848,3493,2018-01-25T15:00:00.000000000Z
426,108.697,108.755,108.606,108.697,1924,2018-01-25T16:00:00.000000000Z
427,108.666,108.770,108.666,108.700,1063,2018-01-25T17:00:00.000000000Z
428,108.553,108.672,108.502,108.669,1624,2018-01-25T18:00:00.000000000Z
429,109.413,109.700,108.534,108.550,10049,2018-01-25T19:00:00.000000000Z
430,109.264,109.434,109.196,109.411,3229,2018-01-25T20:00:00.000000000Z
431,109.409,109.464,109.196,109.262,1115,2018-01-25T21:00:00.000000000Z
432,109.656,109.663,109.410,109.435,1192,2018-01-25T22:00:00.000000000Z
433,109.674,109.721,109.526,109.653,1343,2018-01-25T23:00:00.000000000Z
434,109.674,109.770,109.587,109.676,1875,2018-01-26T00:00:00.000000000Z
435,109.408,109.742,109.346,109.676,2538,2018-01-26T01:00:00.000000000Z
436,109.336,109.510,109.334,109.410,2036,2018-01-26T02:00:00.000000000Z
437,109.379,109.414,109.334,109.339,1044,2018-01-26T03:00:00.000000000Z
438,109.410,109.424,109.349,109.377,596,2018-01-26T04:00:00.000000000Z
439,109.366,109.507,109.357,109.408,757,2018-01-26T05:00:00.000000000Z
440,109.176,109.401,109.158,109.370,1632,2018-01-26T06:00:00.000000000Z
441,109.038,109.184,108.920,109.172,2712,2018-01-26T07:00:00.000000000Z
442,108.938,109.048,108.910,109.040,2066,2018-01-26T08:00:00.000000000Z
443,109.110,109.130,108.926,108.936,1631,2018-01-26T09:00:00.000000000Z
444,109.110,109.197,109.062,109.113,1031,2018-01-26T10:00:00.000000000Z
445,109.384,109.414,109.026,109.108,1643,2018-01-26T11:00:00.000000000Z
446,109.277,109.381,109.192,109.381,1699,2018-01-26T12:00:00.000000000Z
447,109.362,109.432,109.124,109.274,3455,2018-01-26T13:00:00.000000000Z
448,108.704,109.591,108.680,109.364,6764,2018-01-26T14:00:00.000000000Z
449,108.598,108.806,108.498,108.702,3856,2018-01-26T15:00:00.000000000Z
450,108.388,108.660,108.326,108.602,3788,2018-01-26T16:00:00.000000000Z
451,108.460,108.542,108.285,108.386,2293,2018-01-26T17:00:00.000000000Z
452,108.334,108.475,108.334,108.462,1176,2018-01-26T18:00:00.000000000Z
453,108.679,109.064,108.284,108.336,4460,2018-01-26T19:00:00.000000000Z
454,108.721,108.778,108.654,108.681,840,2018-01-26T20:00:00.000000000Z
455,108.611,108.730,108.599,108.719,674,2018-01-26T21:00:00.000000000Z
456,108.661,108.786,108.618,108.704,1367,2018-01-28T22:00:00.000000000Z
457,108.608,108.761,108.593,108.659,985,2018-01-28T23:00:00.000000000Z
458,108.656,108.734,108.510,108.610,1694,2018-01-29T00:00:00.000000000Z
459,108.835,108.891,108.643,108.658,1887,2018-01-29T01:00:00.000000000Z
460,108.845,108.990,108.816,108.833,1462,2018-01-29T02:00:00.000000000Z
461,108.710,108.860,108.668,108.847,1254,2018-01-29T03:00:00.000000000Z
462,108.740,108.752,108.665,108.707,458,2018-01-29T04:00:00.000000000Z
463,108.796,108.801,108.713,108.743,850,2018-01-29T05:00:00.000000000Z
464,108.769,108.880,108.757,108.798,1300,2018-01-29T06:00:00.000000000Z
465,108.941,109.058,108.762,108.772,2035,2018-01-29T07:00:00.000000000Z
466,108.874,108.970,108.870,108.939,1628,2018-01-29T08:00:00.000000000Z
467,108.784,108.996,108.770,108.872,1534,2018-01-29T09:00:00.000000000Z
468,108.726,108.808,108.634,108.788,1699,2018-01-29T10:00:00.000000000Z
469,108.702,108.804,108.690,108.729,912,2018-01-29T11:00:00.000000000Z
470,108.860,108.872,108.626,108.700,1125,2018-01-29T12:00:00.000000000Z
471,108.774,108.882,108.738,108.858,1429,2018-01-29T13:00:00.000000000Z
472,108.837,108.894,108.697,108.772,1378,2018-01-29T14:00:00.000000000Z
473,109.020,109.076,108.784,108.839,1690,2018-01-29T15:00:00.000000000Z
474,109.130,109.204,108.982,109.022,2510,2018-01-29T16:00:00.000000000Z
475,109.090,109.190,109.084,109.127,1204,2018-01-29T17:00:00.000000000Z
476,109.052,109.114,109.012,109.093,839,2018-01-29T18:00:00.000000000Z
477,108.947,109.057,108.903,109.050,928,2018-01-29T19:00:00.000000000Z
478,108.944,109.013,108.895,108.945,955,2018-01-29T20:00:00.000000000Z
479,108.958,109.004,108.934,108.941,374,2018-01-29T21:00:00.000000000Z
480,108.996,109.004,108.936,108.954,583,2018-01-29T22:00:00.000000000Z
481,108.946,108.993,108.915,108.993,412,2018-01-29T23:00:00.000000000Z
482,108.950,109.072,108.886,108.948,1551,2018-01-30T00:00:00.000000000Z
483,108.851,108.972,108.780,108.953,1525,2018-01-30T01:00:00.000000000Z
484,109.098,109.204,108.832,108.853,2160,2018-01-30T02:00:00.000000000Z
485,108.800,109.105,108.768,109.096,1562,2018-01-30T03:00:00.000000000Z
486,108.760,108.836,108.660,108.802,2021,2018-01-30T04:00:00.000000000Z
487,108.686,108.844,108.686,108.762,1096,2018-01-30T05:00:00.000000000Z
488,108.816,108.821,108.612,108.684,1353,2018-01-30T06:00:00.000000000Z
489,108.752,108.814,108.661,108.814,1462,2018-01-30T07:00:00.000000000Z
490,108.676,108.804,108.668,108.754,1867,2018-01-30T08:00:00.000000000Z
491,108.650,108.720,108.592,108.679,1826,2018-01-30T09:00:00.000000000Z
492,108.592,108.712,108.563,108.647,1579,2018-01-30T10:00:00.000000000Z
493,108.611,108.668,108.526,108.589,1289,2018-01-30T11:00:00.000000000Z
494,108.666,108.694,108.598,108.613,1090,2018-01-30T12:00:00.000000000Z
495,108.570,108.758,108.548,108.664,1387,2018-01-30T13:00:00.000000000Z
496,108.546,108.608,108.416,108.572,3189,2018-01-30T14:00:00.000000000Z
497,108.821,108.881,108.495,108.544,3125,2018-01-30T15:00:00.000000000Z
498,108.874,108.937,108.716,108.823,2595,2018-01-30T16:00:00.000000000Z
499,108.830,108.908,108.764,108.876,1507,2018-01-30T17:00:00.000000000Z
